😔	0	rosto deprimido	abatido | awful | bored | chateado | dejected | deprimido | desanimado | died | disappointed | face | losing | lost | pensativo | pensive | pensive face | pra baixo | rosto | rosto deprimido | sad | sucks
😪	0	rosto sonolento	cara de sono | crying | face | good | night | rosto | rosto com sono | rosto sonolento | sad | sleep | sleeping | sleepy | sleepy face | tired
🤤	0	rosto babando	babando | babar | drooling | drooling face | face | rosto | rosto babando | salivando
😴	0	rosto dormindo	bed | bedtime | boa noite | cama | cansada | cansado | cochilo | dormindo | dormir | face | good | goodnight | nap | night | rosto | rosto dormindo | sleep | sleeping | sleeping face | soneca | sono | tired | whatever | yawn | zzz
🫩	0	rosto com olheiras	bags | bored | cansada | cansado | cansaço | dorminhoco | exausta | exausto | exhausted | eyes | face | face with bags under eyes | fatigued | late | olheiras | rosto com bolsas embaixo dos olhos | rosto com olheiras | sleepy | tired | weary
😷	0	rosto com máscara médica	cold | dentist | dermatologist | doctor | doente | dr | face | face with medical mask | germs | gripado | mask | medical | medicine | máscara | máscara médica | resfriado | rosto | rosto com máscara | rosto com máscara médica | sick
🤒	0	rosto com termômetro	de cama | doente | face | face with thermometer | febre | febril | ill | rosto | rosto com termômetro | sick | termômetro | thermometer
🤕	0	rosto com atadura na cabeça	acidentado | bandage | doente | face | face with head-bandage | ferimento | head-bandage | hurt | injury | machucado | ouch | rosto | rosto com atadura na cabeça | rosto com curativos
🤢	0	rosto nauseado	doente | enjoado | enjoo | face | gross | nasty | nauseated | nauseated face | náusea | rosto nauseado | sick | vomit | vômito
🤮	0	rosto vomitando	barf | doente | ew | face | face vomiting | gross | nojenta | nojento | nojo | puke | rosto vomitando | sick | spew | throw | up | vomit | vomitando | vomiting | vômito
🤧	0	rosto espirrando	de cama | doente | espirrando | espirro | face | fever | flu | gesundheit | gripado | resfriado | rosto espirrando | sick | sneeze | sneezing | sneezing face
🥵	0	rosto fervendo de calor	calor | dying | face | febre | febril | feverish | heat | hot | hot face | insolação | língua de fora | ofegante | panting | quente | red-faced | rosto | rosto fervendo de calor | rosto vermelho | stroke | suando | suor | sweating | tongue
🥶	0	rosto gelado	abaixo de zero | azul | blue | blue-faced | cold | cold face | congelando | congelei | face | freezing | frio | frostbite | gelado | glacial | gélido | icicles | rosto | rosto gelado | subzero | teeth
🥴	0	rosto embriagado	alcoolizado | boca ondulada | bêbada | bêbado | dizzy | drunk | embriagada | embriagado | eyes | face | intoxicado | intoxicated | mouth | olhos tortos | rosto | rosto embriagado | tipsy | tonta | tonto | uneven | wavy | woozy | woozy face
😵	0	rosto atordoado	acabado | atordoado | crossed-out | dead | dizzy | doente | eyes | face | face with crossed-out eyes | feels | knocked | morto | out | rosto | rosto atordoado | sick | tired | tontura
😵‍💫	0	rosto com olhos em espiral	caramba | confused | confuso | desnorteado | dizzy | eita | espirais | eyes | face | face with spiral eyes | hipnotizado | hypnotized | omg | problema | putz | rosto com olhos em espiral | smiley | spiral | tonto | tontura | trouble | uau | whoa | woah | woozy
🤯	0	cabeça explodindo	blown | cabeça | cabeça explodindo | chocada | chocado | chocante | choque | explode | explodindo | exploding | exploding head | head | incrível | mind | mindblown | no | perplexo | shocked | surpreendente | surpresa | surpreso | way
🤠	0	rosto com chapéu de caubói	cara | cara de cauboi | cauboi | caubói | cowboy | cowboy hat face | cowgirl | face | hat | rosto | rosto com chapéu de caubói | sertanejo | vaqueiro
🥳	0	rosto festivo	animação | aniversário | apito | bday | birthday | celebrate | celebration | chapéu | comemorar | comemoração | excited | face | feliz aniversário | festa | happy | hat | hooray | horn | língua de sogra | parabéns | party | partying | partying face | rosto | rosto festivo | viva
🥸	0	rosto disfarçado	bigode | disfarce | disguise | disguised face | espião | eyebrow | face | glasses | incognito | incógnito | moustache | mustache | nariz | nose | person | pessoa | rosto | rosto disfarçado | sobrancelha | spy | tache | tash | óculos
😎	0	rosto sorridente com óculos escuros	awesome | beach | bright | bro | chilling | cool | face | muito sol | na boa | rad | relaxed | rosto | rosto sorridente com óculos escuros | shades | slay | smile | smiling face with sunglasses | sol | sorrindo | sorrindo de óculos escuros | sorriso de óculos | style | sunglasses | swag | to legal | win | óculos escuros
🤓	0	rosto de nerd	brainy | cdf | clever | esperto | estudioso | expert | face | geek | gifted | glasses | inteligente | inteligência | intelligent | nerd | nerd face | rosto de nerd | sabe tudo | sabe-tudo | smart | óculos | óculos de grau
🧐	0	rosto com monóculo	classy | conservador | face | face with monocle | fancy | monocle | rich | rosto com monóculo | stuffy | wealthy
😕	0	rosto confuso	befuddled | confused | confused face | confusing | confuso | dunno | face | frown | hm | indeciso | meh | not | não entendi | não tenho certeza | rosto | rosto confuso | sad | sorry | sure
🫤	0	rosto com boca diagonal	confused | confusion | confusão | cético | decepção | desapontado | diagonal | disappointed | doubt | doubtful | dúvida | face | face with diagonal mouth | frustrated | frustration | frustração | indiferença | inseguro | meh | mouth | rosto com boca diagonal | skeptical | tanto faz | unsure | whatever | wtv
😟	0	rosto preocupado	anxious | butterflies | decepcionado | face | nerves | nervous | preocupado | rosto | rosto preocupado | sad | stress | stressed | surprised | worried | worried face | worry
🙁	0	rosto meio triste	face | frown | frowning | rosto | rosto meio triste | sad | slightly | slightly frowning face | triste | tristeza | tristinho
☹️	0	rosto descontente	decepcionado | decepção | descontente | face | frown | frowning | frowning face | insatisfeito | rosto | rosto de desaprovação | rosto descontente | sad | triste
😮	0	rosto com boca aberta	believe | boca | boca aberta | boquiaberto | empatia | face | face with open mouth | forgot | mouth | omg | open | pasmo | rosto | rosto com boca aberta | shocked | surprised | sympathy | unbelievable | unreal | whoa | wow | you
😯	0	rosto surpreso	epic | espantado | face | hushed | hushed face | omg | rosto | rosto surpreso | stunned | surpreso | surprised | uau | whoa | woah
😲	0	rosto espantado	astonished | astonished face | chocado | cost | estupefato | face | no | omg | rosto | rosto espantado | shocked | totally | totalmente chocado | way
😳	0	rosto ruborizado	amazed | atordoado | awkward | crazy | dazed | dead | deslumbrado | disbelief | embarrassed | face | flushed | flushed face | geez | heat | horrorizado | hot | impressed | impressionado | jeez | rosto | rosto ruborizado | ruborizado | vergonha | what | wow
🥺	0	rosto implorando	begging | big | eyes | face | implorando | mercy | not | olhar de cachorrinho | olhos grandes | perdão | pleading | pleading face | please | por favor | por que não | pq não | pretty | puppy | rosto | rosto implorando | sad | triste | why
🥹	0	rosto segurando as lágrimas	admiration | admiração | alegria | aww | back | chorar | com raiva | cry | embarrassed | emoção | face | face holding back tears | feelings | grateful | gratidão | gratitude | holding | iti malia | joy | lágrimas | orgulho | please | por favor | proud | resist | resistir | rosto segurando as lágrimas | sad | tears | tristeza
😦	0	rosto franzido com boca aberta	aberta | assustado | boca | caught | decepcionado | face | frown | frowning | frowning face with open mouth | guard | inesperado | mouth | open | rosto assustado | rosto franzido com boca aberta | scared | scary | surprise | uau | what | wow
😧	0	rosto angustiado	anguished | anguished face | angustiado | face | forgot | rosto | rosto angustiado | scared | scary | sofrendo | stressed | surprise | unhappy | what | wow
😨	0	rosto amedrontado	afraid | ansiedade | anxious | assustado | blame | com medo | face | fear | fearful | fearful face | medo | preocupado | rosto | rosto amedrontado | scared | worried
😰	0	rosto ansioso com gota de suor	anxious | anxious face with sweat | blue | boca aberta | cold | eek | face | mouth | nervoso | nervous | open | rosto | rosto ansioso com gota de suor | rosto azul com suor frio | rushed | scared | suando frio | suor frio | sweat | yikes
😥	0	rosto triste, mas aliviado	aliviado | anxious | call | close | complicated | decepcionado | disappointed | face | not | não | relieved | rosto | rosto triste, mas aliviado | sad | sad but relieved face | sweat | time | triste | ufa | whew
😢	0	rosto chorando	awful | chorando | choro | cry | crying | crying face | face | feels | lágrimas | miss | rosto | rosto chorando | sad | tear | triste | unhappy
😭	0	rosto chorando aos berros	bawling | chorando | chorando alto | chorar | cry | crying | face | infeliz | loudly | loudly crying face | lágrimas | rosto | rosto chorando aos berros | sad | sob | tear | tears | triste | unhappy
😱	0	rosto gritando de medo	assustada | assustado | epic | face | face screaming in fear | fear | fearful | gritando | grito | medo | munch | rosto | rosto gritando de medo | scared | scream | screamer | screaming | shocked | surprised | susto | temeroso | woah
😖	0	rosto perplexo	annoyed | bravo | confounded | confounded face | confused | cringe | distraught | face | feels | frustrado | frustrated | indignado | mad | perplexo | rosto | rosto perplexo | sad
😣	0	rosto perseverante	concentrado | concentrate | concentration | concentração | dor de cabeça | face | foco | focus | headache | perseverante | perseverança | persevere | persevering | persevering face | rosto | rosto perseverante
😞	0	rosto desapontado	awful | blame | decepção | dejected | desapontado | desapontamento | disappointed | disappointed face | face | fail | losing | rosto | rosto decepcionado | rosto desapontado | sad | triste | unhappy
😓	0	rosto cabisbaixo com gota de suor	close | cold | downcast | downcast face with sweat | face | feels | headache | nervous | rosto | rosto cabisbaixo com gota de suor | rosto com suor frio | sad | scared | suando frio | suor frio | sweat | yikes
😩	0	rosto desolado	aborrecido | cansado | cansei | crying | decepcionado | desolado | exausto | face | fail | feels | hungry | infeliz | mad | nooo | perdi | rosto | rosto desolado | sad | sleepy | tired | unhappy | weary | weary face
😫	0	rosto cansado	cansado | cost | desesperado | exausto | face | feels | nap | rosto | rosto cansado | sad | sneeze | tired | tired face
🥱	0	rosto bocejando	bedtime | bocejo | bored | cansada | cansado | com sono | entediada | entediado | face | goodnight | nap | night | rosto bocejando | sleep | sleepy | sono | tired | whatever | yawn | yawning | yawning face | zzz
😤	0	rosto soltando vapor pelo nariz	anger | angry | brava | bravo | face | face with steam from nose | feels | fume | fuming | furiosa | furioso | furious | fury | irritada | irritado | mad | nose | rosto | rosto soltando vapor pelo nariz | soltando fumaça | steam | triumph | triunfo | unhappy | vitória | won
😡	0	rosto furioso	anger | angry | bravo | enraged | enraged face | face | feels | furioso | irado | mad | maddening | pouting | rage | red | rosto | rosto furioso | shade | unhappy | upset | vermelho | zangado
😠	0	rosto zangado	anger | angry | angry face | blame | face | feels | frustrated | irado | mad | maddening | rage | rosto | rosto zangado | shade | unhappy | upset | zangado
🤬	0	rosto com símbolos na boca	boca | censor | censurado | cursing | cussing | face | face with symbols on mouth | fala | mad | mal | mouth | pissed | rosto | rosto com símbolos na boca | rude | swearing | symbols | símbolos | xingando
😈	0	rosto sorridente com chifres	cara | chifres | demon | devil | diabinho | diabo | evil | face | fairy | fairytale | fantasy | horns | malícia | purple | rosto | rosto sorridente com chifres | roxa | shade | smile | smiling | smiling face with horns | sorridente | sorriso | tale
👿	0	rosto zangado com chifres	angry | angry face with horns | bravo | chifres | demon | demônio | devil | diabinho | diabo | evil | face | fairy | fairytale | fantasy | horns | imp | mischievous | purple | rosto | rosto zangado com chifres | shade | tale | zangado
💀	0	caveira	body | caveira | conto | corpo | dead | death | face | fadas | fairy | fairytale | i’m | lmao | monster | morte | rosto | skull | tale | yolo
☠️	0	caveira e ossos cruzados	bone | caveira | caveira e ossos cruzados | crossbones | dead | death | face | monster | morte | ossos | ossos cruzados | pirata | skull | skull and crossbones
💩	0	cocô	bs | cocô | comic | doo | dung | estrume | excremento | face | fezes | fml | monster | pile | pile of poo | pilha | poo | poop | smelly | smh | stink | stinks | stinky | turd
